# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
54682.65527 54685.65527 5.15647e-08 4.29430e-08 2.71012
54685.65527 54688.65527 2.24044e-08 3.22778e-08 0.99189
54688.65527 54691.65527 2.83164e-08 2.62964e-08 4.38347
54691.65527 54694.65527 2.10716e-08 3.04338e-08 0.73381
54694.65527 54697.65527 7.89563e-08 3.75281e-08 11.97850
54697.65527 54700.65527 5.52432e-08 3.51360e-08 6.11172
54700.65527 54703.65527 4.51712e-09 2.34441e-08 0.04084
54703.65527 54706.65527 1.08227e-08 2.81448e-08 0.17394
54706.65527 54709.65527 4.75519e-08 2.80341e-08 7.34044
54709.65527 54712.65527 2.02807e-11 9.40464e-14 -0.00045
54712.65527 54715.65527 2.02807e-11 2.64987e-13 -0.00192
54715.65527 54718.65527 2.71644e-08 2.68736e-08 1.41228
54718.65527 54721.65527 7.83733e-08 3.22467e-08 14.54170
54721.65527 54724.65527 1.81860e-07 4.19220e-08 53.06590
54724.65527 54727.65527 1.58657e-07 4.61947e-08 35.42910
54727.65527 54730.65527 4.06896e-08 3.63793e-08 1.68036
54730.65527 54733.65527 7.14518e-08 3.32129e-08 13.75320
54733.65527 54736.65527 5.39780e-08 4.10191e-08 3.24795
54736.65527 54739.65527 2.02807e-11 2.28037e-14 -0.00141
54739.65527 54742.65527 5.22888e-08 3.63126e-08 4.79800
54742.65527 54745.65527 6.79236e-08 4.15502e-08 4.41166
54745.65527 54748.65527 1.67556e-07 4.99456e-08 32.08190
54748.65527 54751.65527 3.58021e-08 3.87199e-08 1.44326
54751.65527 54754.65527 2.02807e-11 9.38887e-13 -0.00023
54754.65527 54757.65527 6.77705e-08 3.85768e-08 4.63619
54757.65527 54760.65527 4.55373e-08 2.80560e-08 5.32807
54760.65527 54763.65527 1.22936e-08 2.10708e-08 0.45832
54763.65527 54766.65527 1.64873e-08 2.46545e-08 0.58524
54766.65527 54769.65527 1.22614e-09 7.20529e-09 0.00860
54769.65527 54772.65527 1.24203e-08 1.56178e-08 1.24041
54772.65527 54775.65527 2.08539e-09 1.41858e-08 0.00439
54775.65527 54778.65527 2.02807e-11 2.62224e-14 -0.00276
54778.65527 54781.65527 6.27996e-08 3.31071e-08 9.15029
54781.65527 54784.65527 2.02807e-11 6.97561e-13 -0.00035
54784.65527 54787.65527 2.45324e-08 2.84766e-08 1.16146
54787.65527 54790.65527 6.65041e-09 2.38552e-08 0.06955
54790.65527 54793.65527 3.73382e-08 3.60648e-08 1.96282
54793.65527 54796.65527 6.84166e-08 3.73772e-08 8.08262
54796.65527 54799.65527 1.24120e-07 5.22314e-08 10.06180
54799.65527 54802.65527 7.13618e-08 3.89910e-08 7.03153
54802.65527 54805.65527 3.94048e-08 3.77204e-08 1.48822
54805.65527 54808.65527 7.81422e-09 4.31605e-08 0.03660
54808.65527 54811.65527 2.02807e-11 1.21238e-14 -0.00040
54811.65527 54814.65527 8.33111e-08 3.66376e-08 10.88610
54814.65527 54817.65527 5.34220e-08 2.95865e-08 6.08266
54817.65527 54820.65527 2.02807e-11 1.39932e-12 -0.00015
54820.65527 54823.65527 2.02807e-11 1.27822e-13 -0.00009
54823.65527 54826.65527 2.02807e-11 2.24184e-12 -0.00012
54826.65527 54829.65527 4.14129e-08 3.08312e-08 3.21089
54829.65527 54832.65527 2.02807e-11 3.02768e-14 -0.00128
54832.65527 54835.65527 3.59292e-08 3.23935e-08 1.85782
54835.65527 54838.65527 5.86052e-08 3.50140e-08 5.14296
54838.65527 54841.65527 7.00595e-08 4.61577e-08 3.39941
54841.65527 54844.65527 2.02807e-11 8.70593e-14 -0.00082
54844.65527 54847.65527 1.42491e-08 2.50068e-08 0.46686
54847.65527 54850.65527 5.71780e-08 3.24585e-08 7.69352
54850.65527 54853.65527 2.02807e-11 2.48916e-13 -0.00169
54853.65527 54856.65527 2.02807e-11 1.16472e-15 -0.00200
54856.65527 54859.65527 9.74897e-09 2.03600e-08 0.42851
54859.65527 54862.65527 2.02807e-11 4.33556e-14 -0.00054
54862.65527 54865.65527 3.31562e-08 3.13994e-08 2.61021
54865.65527 54868.65527 5.86465e-08 3.44090e-08 5.76429
54868.65527 54871.65527 9.41357e-09 2.90016e-08 0.11403
54871.65527 54874.65527 2.30052e-08 2.87453e-08 1.03338
54874.65527 54877.65527 9.61384e-08 3.64496e-08 18.69460
54877.65527 54880.65527 7.99556e-08 3.26267e-08 14.92760
54880.65527 54883.65527 7.37608e-08 3.18901e-08 10.77180
54883.65527 54886.65527 1.00178e-07 3.62269e-08 18.78060
54886.65527 54889.65527 9.37899e-08 4.36112e-08 8.01625
54889.65527 54892.65527 2.02807e-11 5.41249e-14 -0.00013
54892.65527 54895.65527 8.15426e-08 3.60314e-08 12.13270
54895.65527 54898.65527 6.51612e-08 4.50996e-08 3.31332
54898.65527 54901.65527 3.77557e-08 3.17364e-08 3.65301
54904.65527 54907.65527 5.49932e-08 6.21154e-08 1.31869
54907.65527 54910.65527 5.85441e-08 3.92181e-08 3.74165
54910.65527 54913.65527 9.24382e-08 3.90539e-08 18.45340
54913.65527 54916.65527 5.42316e-08 3.10186e-08 7.68154
54916.65527 54919.65527 6.30581e-08 3.42547e-08 5.75857
54919.65527 54922.65527 3.85385e-08 2.51401e-08 8.55079
54922.65527 54925.65527 8.86161e-09 1.73855e-08 0.36921
54925.65527 54928.65527 6.94162e-08 3.28074e-08 9.68154
54928.65527 54931.65527 1.38436e-08 3.07233e-08 0.23673
54931.65527 54934.65527 2.02807e-11 1.71623e-15 -0.00014
54934.65527 54937.65527 2.09447e-07 4.76220e-08 57.84200
54937.65527 54940.65527 3.75327e-07 5.75667e-08 139.37800
54940.65527 54943.65527 8.97215e-08 3.68700e-08 13.44210
54943.65527 54946.65527 1.84890e-07 4.57290e-08 45.29720
54946.65527 54949.65527 1.26622e-07 4.34342e-08 30.04850
54949.65527 54952.65527 6.36309e-08 3.60470e-08 9.61347
54952.65527 54955.65527 2.24347e-07 6.47252e-08 30.84050
54955.65527 54958.65527 1.53636e-07 5.67264e-08 16.71980
54958.65527 54961.65527 5.07058e-08 3.82955e-08 5.81721
54961.65527 54964.65527 6.68402e-08 3.63790e-08 6.93608
54964.65527 54967.65527 1.25370e-07 4.48278e-08 18.95900
54967.65527 54970.65527 1.06397e-07 4.34523e-08 12.24080
54970.65527 54973.65527 2.26380e-07 4.84180e-08 52.59010
54973.65527 54976.65527 2.07722e-07 4.56711e-08 56.56800
54976.65527 54979.65527 8.55489e-08 3.27742e-08 15.87540
54979.65527 54982.65527 1.40161e-07 3.74004e-08 36.01830
54982.65527 54985.65527 8.82399e-08 3.30031e-08 20.83540
54985.65527 54988.65527 1.10749e-07 3.58739e-08 25.61520
54988.65527 54991.65527 9.43987e-08 3.67622e-08 14.02930
54991.65527 54994.65527 9.39591e-08 3.57220e-08 16.76530
54994.65527 54997.65527 2.03821e-07 5.31452e-08 30.69930
54997.65527 55000.65527 1.89749e-07 4.78548e-08 56.16730
55000.65527 55003.65527 2.12308e-07 5.49330e-08 41.95280
55003.65527 55006.65527 7.46852e-08 4.21960e-08 6.38743
55006.65527 55009.65527 1.97715e-07 5.68323e-08 35.09170
55009.65527 55012.65527 1.47591e-07 5.26662e-08 17.49760
55012.65527 55015.65527 1.41792e-07 5.12611e-08 16.08350
55015.65527 55018.65527 2.47585e-07 5.87379e-08 44.88150
55018.65527 55021.65527 2.52317e-07 5.44766e-08 64.02150
55021.65527 55024.65527 1.77985e-07 4.67970e-08 39.78870
55024.65527 55027.65527 6.25626e-08 3.21227e-08 8.90012
55027.65527 55030.65527 9.25346e-09 2.97287e-08 0.08286
55030.65527 55033.65527 3.08019e-07 5.55749e-08 99.31300
55033.65527 55036.65527 2.91221e-07 5.54916e-08 76.88740
55036.65527 55039.65527 1.93629e-07 4.68152e-08 45.46910
55039.65527 55042.65527 1.61962e-07 4.27730e-08 42.38100
55042.65527 55045.65527 4.12091e-08 3.61170e-08 1.75567
55045.65527 55048.65527 7.77338e-08 3.52919e-08 11.15970
55048.65527 55051.65527 1.52177e-07 4.25259e-08 49.57230
55051.65527 55054.65527 3.45915e-07 6.45642e-08 73.29200
55054.65527 55057.65527 1.95594e-07 5.45634e-08 29.23300
55057.65527 55060.65527 1.54140e-07 5.23224e-08 28.87410
55060.65527 55063.65527 1.39840e-07 4.99519e-08 21.49900
55063.65527 55066.65527 6.90402e-08 3.99342e-08 10.21840
55066.65527 55069.65527 1.88902e-07 5.44490e-08 37.33730
55069.65527 55072.65527 1.96819e-07 5.38865e-08 32.62310
55072.65527 55075.65527 6.99010e-08 4.26637e-08 5.33707
55075.65527 55078.65527 1.47707e-07 5.20050e-08 16.32360
55078.65527 55081.65527 8.82309e-08 4.28668e-08 12.26630
55081.65527 55084.65527 1.32189e-07 5.51834e-08 13.06400
55084.65527 55087.65527 2.28431e-07 6.89480e-08 20.85650
55087.65527 55090.65527 9.22679e-08 5.11169e-08 5.30807
55090.65527 55093.65527 1.43700e-07 5.66809e-08 10.80250
55093.65527 55096.65527 4.23324e-07 7.86659e-08 85.88310
55096.65527 55099.65527 8.54040e-07 1.05217e-07 216.63000
55099.65527 55102.65527 8.28520e-07 1.02488e-07 226.82700
55102.65527 55105.65527 3.19121e-06 1.80498e-07 1506.12000
55105.65527 55108.65527 2.78235e-06 1.48760e-07 1667.28000
55108.65527 55111.65527 1.18546e-06 1.07153e-07 450.27200
55111.65527 55114.65527 8.63891e-07 9.41427e-08 327.37800
55114.65527 55117.65527 2.73115e-07 6.01400e-08 68.71760
55117.65527 55120.65527 2.52851e-07 5.75396e-08 61.88590
55120.65527 55123.65527 2.21929e-07 5.25935e-08 51.88320
55123.65527 55126.65527 3.67060e-07 6.84614e-08 72.96430
55126.65527 55129.65527 2.62534e-07 6.31199e-08 44.47590
55129.65527 55132.65527 2.21692e-07 6.26207e-08 32.38900
55132.65527 55135.65527 1.53508e-07 5.57565e-08 15.18610
55135.65527 55138.65527 2.98267e-07 6.69010e-08 62.83860
55138.65527 55141.65527 3.45954e-07 7.39779e-08 56.04200
55141.65527 55144.65527 2.97661e-07 6.46324e-08 65.59090
55144.65527 55147.65527 8.15161e-07 9.22601e-08 298.84300
55147.65527 55150.65527 6.55152e-07 9.52281e-08 123.99100
55150.65527 55153.65527 3.67096e-07 7.79208e-08 62.22920
55153.65527 55156.65527 4.49863e-07 7.69092e-08 98.63790
55156.65527 55159.65527 3.09806e-07 6.43354e-08 80.57860
55159.65527 55162.65527 9.80568e-07 9.87420e-08 379.68700
55162.65527 55165.65527 6.40621e-07 8.54103e-08 194.68900
55165.65527 55168.65527 6.58289e-07 8.20006e-08 256.43200
55168.65527 55171.65527 5.64354e-07 7.86396e-08 179.05800
55171.65527 55174.65527 5.57096e-07 7.48107e-08 198.18000
55174.65527 55177.65527 5.53503e-07 7.72825e-08 214.00600
55177.65527 55180.65527 2.34057e-06 1.39896e-07 1222.95000
55180.65527 55183.65527 1.18489e-06 1.08937e-07 404.37600
55183.65527 55186.65527 9.28235e-07 1.01444e-07 274.51200
55186.65527 55189.65527 7.36547e-07 9.49146e-08 200.06400
55189.65527 55192.65527 6.08238e-07 8.77131e-08 145.86500
55192.65527 55195.65527 2.22548e-07 6.00499e-08 37.86030
55195.65527 55198.65527 8.06912e-07 9.43021e-08 279.07800
55198.65527 55201.65527 1.67616e-06 1.29043e-07 591.04400
55201.65527 55204.65527 6.56746e-07 8.96918e-08 156.67200
55204.65527 55207.65527 2.79425e-07 6.93001e-08 40.02720
55207.65527 55210.65527 4.32707e-07 7.22050e-08 121.59700
55210.65527 55213.65527 4.96915e-07 7.80897e-08 120.91100
55213.65527 55216.65527 3.79596e-07 6.65682e-08 97.31800
55216.65527 55219.65527 4.54299e-07 7.34428e-08 120.21400
55219.65527 55222.65527 3.23309e-07 6.37652e-08 77.91440
55222.65527 55225.65527 3.65527e-07 6.33241e-08 124.36900
55225.65527 55228.65527 3.06961e-07 6.23021e-08 68.04410
55228.65527 55231.65527 2.51007e-07 5.82168e-08 41.90260
55231.65527 55234.65527 2.49987e-06 1.46415e-07 1321.87000
55234.65527 55237.65527 3.48229e-06 1.74891e-07 1768.51000
55237.65527 55240.65527 1.49890e-06 1.21449e-07 609.55300
55240.65527 55243.65527 1.14356e-06 1.09796e-07 403.49200
55243.65527 55246.65527 7.95003e-07 9.36035e-08 271.76200
55246.65527 55249.65527 8.52791e-07 9.63094e-08 272.44800
55249.65527 55252.65527 5.82042e-07 8.62556e-08 153.19800
55252.65527 55255.65527 7.73227e-07 9.31003e-08 240.35100
55255.65527 55258.65527 4.83559e-07 7.89140e-08 121.67400
55258.65527 55261.65527 5.09838e-07 8.03228e-08 107.92500
55261.65527 55264.65527 2.69737e-07 6.50238e-08 40.64610
55264.65527 55267.65527 3.21738e-07 6.66351e-08 67.96880
55267.65527 55270.65527 3.86626e-07 6.52680e-08 117.48200
55270.65527 55273.65527 7.77193e-07 9.01720e-08 282.10600
55273.65527 55276.65527 1.07998e-06 9.95707e-08 483.85400
55276.65527 55279.65527 5.73161e-07 7.92152e-08 168.06000
55279.65527 55282.65527 4.61982e-07 7.38456e-08 100.71400
55282.65527 55285.65527 5.14187e-07 7.61737e-08 129.28700
55285.65527 55288.65527 6.03358e-07 8.57941e-08 162.10500
55288.65527 55291.65527 4.16660e-07 7.21094e-08 129.38000
55291.65527 55294.65527 7.60467e-07 1.24907e-07 128.67200
55294.65527 55297.65527 7.63944e-07 9.50049e-08 216.55400
55297.65527 55300.65527 1.44776e-06 1.08663e-07 711.32100
55300.65527 55303.65527 1.38017e-06 1.17547e-07 494.14000
55303.65527 55306.65527 1.79961e-06 1.29531e-07 754.03200
55306.65527 55309.65527 1.73006e-06 1.23115e-07 790.76700
55309.65527 55312.65527 5.95928e-06 2.09971e-07 3854.70000
55312.65527 55315.65527 3.75538e-06 1.68094e-07 2367.38000
55315.65527 55318.65527 6.12110e-06 2.03841e-07 4774.13000
55318.65527 55321.65527 1.65630e-06 1.14241e-07 963.17300
55321.65527 55324.65527 1.85621e-06 1.27921e-07 878.94900
55324.65527 55327.65527 2.95984e-06 1.58947e-07 1488.73000
55327.65527 55330.65527 1.77507e-06 1.28288e-07 834.70400
55330.65527 55333.65527 1.22668e-06 1.10706e-07 498.29500
55333.65527 55336.65527 1.70542e-06 1.22228e-07 790.46100
55336.65527 55339.65527 1.35858e-06 1.15207e-07 524.85100
55339.65527 55342.65527 5.27717e-06 1.90937e-07 3892.64000
55342.65527 55345.65527 2.65061e-06 1.50474e-07 1418.24000
55345.65527 55348.65527 2.35032e-06 1.44167e-07 1045.02000
55348.65527 55351.65527 1.27483e-06 1.08491e-07 512.11500
55351.65527 55354.65527 1.04318e-06 9.97018e-08 368.52200
55354.65527 55357.65527 1.57866e-06 1.17060e-07 719.26000
55357.65527 55360.65527 4.05185e-06 1.76214e-07 2182.22000
55360.65527 55363.65527 2.40301e-06 1.42224e-07 1077.29000
55363.65527 55366.65527 8.40295e-06 2.53946e-07 6069.61000
55366.65527 55369.65527 5.29144e-06 1.97460e-07 3546.54000
55369.65527 55372.65527 2.16803e-06 1.34532e-07 1046.32000
55372.65527 55375.65527 2.82154e-06 1.49626e-07 1476.34000
55375.65527 55378.65527 4.49502e-06 1.88078e-07 2850.93000
55378.65527 55381.65527 3.15952e-06 1.60260e-07 1780.55000
55381.65527 55384.65527 1.97310e-06 1.33465e-07 886.19800
55384.65527 55387.65527 3.41525e-06 1.63531e-07 2154.95000
55387.65527 55390.65527 2.61509e-06 1.43185e-07 1539.25000
55390.65527 55393.65527 1.62667e-06 1.16605e-07 755.04400
55393.65527 55396.65527 8.82451e-07 9.38363e-08 300.84700
55396.65527 55399.65527 9.01008e-07 9.53205e-08 317.60000
55399.65527 55402.65527 8.08158e-07 9.61228e-08 222.07500
55402.65527 55405.65527 8.51294e-07 9.73019e-08 251.28000
55405.65527 55408.65527 8.62115e-07 9.43677e-08 266.54500
55408.65527 55411.65527 7.82389e-07 9.19343e-08 241.30900
55411.65527 55414.65527 1.08053e-06 1.06441e-07 328.09700
55414.65527 55417.65527 9.27426e-07 1.00109e-07 260.39100
55417.65527 55420.65527 7.11809e-07 9.22161e-08 213.50700
55420.65527 55423.65527 8.41148e-07 9.44155e-08 245.83000
55423.65527 55426.65527 7.22375e-07 8.99647e-08 225.80100
55426.65527 55429.65527 7.68081e-07 8.73933e-08 297.24100
55429.65527 55432.65527 7.44912e-07 8.97616e-08 234.58100
55432.65527 55435.65527 6.59770e-07 9.00185e-08 194.20700
55435.65527 55438.65527 1.11382e-06 1.09240e-07 388.37700
55438.65527 55441.65527 1.29454e-06 1.10822e-07 524.13500
55441.65527 55444.65527 1.24057e-06 1.10584e-07 480.77200
55444.65527 55447.65527 8.94569e-07 9.66735e-08 328.12100
55447.65527 55450.65527 6.74390e-07 9.23721e-08 158.58000
55450.65527 55453.65527 8.84662e-07 9.88191e-08 253.06400
55453.65527 55456.65527 8.70944e-07 1.00880e-07 251.05700
55456.65527 55459.65527 6.64152e-07 8.83619e-08 209.69900
55459.65527 55462.65527 9.27653e-07 1.04909e-07 285.25000
55462.65527 55465.65527 9.05536e-07 1.63459e-07 114.20900
55465.65527 55468.65527 5.75726e-07 1.00482e-07 86.57140
55468.65527 55471.65527 7.31467e-07 9.38106e-08 234.32200
55471.65527 55474.65527 4.12220e-07 7.67621e-08 90.02690
55474.65527 55477.65527 7.65938e-07 9.64445e-08 191.86600
55477.65527 55480.65527 1.47921e-06 1.21028e-07 575.87200
55480.65527 55483.65527 1.94382e-06 1.40326e-07 778.81000
55483.65527 55486.65527 2.56624e-06 1.48028e-07 1275.19000
55486.65527 55489.65527 1.15145e-06 1.06485e-07 380.52200
55489.65527 55492.65527 8.47754e-07 9.70874e-08 260.69300
55492.65527 55495.65527 1.05014e-06 1.04451e-07 366.23500
55495.65527 55498.65527 9.61288e-07 9.59991e-08 364.87100
55498.65527 55501.65527 6.83344e-07 8.76672e-08 198.07900
55501.65527 55504.65527 4.49310e-07 7.68954e-08 99.51610
55504.65527 55507.65527 7.90398e-07 9.91397e-08 238.27700
55507.65527 55510.65527 3.23461e-07 7.18701e-08 43.24680
55510.65527 55513.65527 4.24764e-07 7.82057e-08 70.09710
55513.65527 55516.65527 5.15137e-07 8.01541e-08 124.81300
55516.65527 55519.65527 5.38944e-07 8.21875e-08 156.15900
55519.65527 55522.65527 8.82705e-07 1.00963e-07 254.34000
55522.65527 55525.65527 8.86245e-07 1.02488e-07 235.18200
55525.65527 55528.65527 7.40498e-07 9.39437e-08 195.87400
55528.65527 55531.65527 6.00334e-07 8.48166e-08 160.19100
55531.65527 55534.65527 1.47634e-06 1.19276e-07 572.47500
55534.65527 55537.65527 1.23615e-06 1.09243e-07 473.88400
55537.65527 55540.65527 7.84526e-07 8.90255e-08 295.85600
55540.65527 55543.65527 9.55177e-07 9.73542e-08 344.71800
55543.65527 55546.65527 1.60820e-06 1.19840e-07 791.52700
55546.65527 55549.65527 1.03284e-06 9.98542e-08 385.67900
55549.65527 55552.65527 4.87528e-07 7.61144e-08 108.52300
55552.65527 55555.65527 6.13648e-07 8.27471e-08 180.40600
55555.65527 55558.65527 8.97128e-07 1.00733e-07 311.98300
55558.65527 55561.65527 7.77299e-07 1.04503e-07 205.01600
55561.65527 55564.65527 7.03790e-07 9.41365e-08 171.65700
55564.65527 55567.65527 6.50492e-07 8.67355e-08 229.09700
55567.65527 55570.65527 8.75537e-07 1.01001e-07 261.66800
55570.65527 55573.65527 6.05052e-07 8.54984e-08 147.64400
55573.65527 55576.65527 3.10672e-07 7.37172e-08 42.69130
55576.65527 55579.65527 5.74405e-07 8.86538e-08 121.60100
55579.65527 55582.65527 5.64989e-07 8.53849e-08 140.49200
55582.65527 55585.65527 6.21977e-07 8.47142e-08 156.76000
55585.65527 55588.65527 4.66513e-07 7.71869e-08 120.80900
55588.65527 55591.65527 3.43064e-07 6.55461e-08 73.66420
55591.65527 55594.65527 6.44955e-07 8.12418e-08 215.38700
55594.65527 55597.65527 3.50769e-07 6.76246e-08 71.97790
55597.65527 55600.65527 2.01063e-07 5.32703e-08 45.03190
55600.65527 55603.65527 2.15585e-07 5.66522e-08 38.14810
55603.65527 55606.65527 7.76860e-07 9.06572e-08 287.24100
55606.65527 55609.65527 9.71806e-07 9.69473e-08 397.53200
55609.65527 55612.65527 7.60029e-07 9.14316e-08 255.03500
55612.65527 55615.65527 4.99847e-07 7.94177e-08 131.18800
55615.65527 55618.65527 7.82148e-07 9.82140e-08 210.44500
55618.65527 55621.65527 5.76322e-07 8.10941e-08 152.42600
55621.65527 55624.65527 5.67296e-07 8.64413e-08 127.38500
55624.65527 55627.65527 7.00229e-07 9.05510e-08 195.84800
55627.65527 55630.65527 1.05190e-06 1.06285e-07 368.45800
55630.65527 55633.65527 7.55746e-07 9.72420e-08 192.26500
55633.65527 55636.65527 5.88711e-07 8.38093e-08 149.65700
55636.65527 55639.65527 5.55068e-07 8.13013e-08 127.92900
55639.65527 55642.65527 2.10926e-07 5.47732e-08 38.70320
55642.65527 55645.65527 3.16213e-07 6.77811e-08 63.64860
55645.65527 55648.65527 3.42772e-07 7.14436e-08 68.10880
55648.65527 55651.65527 3.09492e-07 6.25627e-08 62.32600
55651.65527 55654.65527 1.40124e-07 4.76571e-08 21.52770
55654.65527 55657.65527 1.49965e-07 4.44646e-08 30.90580
55657.65527 55660.65527 2.39136e-07 6.01137e-08 40.48340
55660.65527 55663.65527 2.34521e-07 5.65516e-08 40.79860
55663.65527 55666.65527 1.93237e-07 8.12332e-08 17.37720
55666.65527 55669.65527 1.26018e-07 9.05641e-08 3.08150
55669.65527 55672.65527 2.40313e-07 7.79337e-08 22.89260
55672.65527 55675.65527 2.11274e-07 6.00496e-08 30.16220
55675.65527 55678.65527 7.54699e-08 4.75179e-08 4.97277
55678.65527 55681.65527 5.47072e-08 4.61162e-08 2.13515
55681.65527 55684.65527 1.02799e-07 5.11000e-08 6.16596
55684.65527 55687.65527 2.88091e-07 6.42074e-08 48.64800
55687.65527 55690.65527 2.60670e-07 6.74359e-08 36.90260
55690.65527 55693.65527 1.09832e-07 4.59911e-08 15.39710
55693.65527 55696.65527 1.51486e-07 5.09892e-08 21.46930
55696.65527 55699.65527 1.70196e-07 4.91823e-08 31.65090
55699.65527 55702.65527 3.33519e-07 6.20042e-08 86.43550
55702.65527 55705.65527 8.26741e-07 9.34141e-08 298.06700
55705.65527 55708.65527 3.29182e-07 6.10329e-08 97.95120
55708.65527 55711.65527 3.92186e-07 6.88737e-08 85.57300
55711.65527 55714.65527 2.47419e-07 5.83151e-08 47.04910
55714.65527 55717.65527 3.06600e-07 6.54876e-08 71.72170
55717.65527 55720.65527 5.27702e-07 8.30758e-08 127.58500
55720.65527 55723.65527 3.94772e-07 7.25668e-08 97.32770
55723.65527 55726.65527 2.63233e-07 6.62723e-08 47.45070
55726.65527 55729.65527 1.56231e-07 5.25341e-08 26.60810
55729.65527 55732.65527 1.40194e-07 5.83576e-08 9.52123
55732.65527 55735.65527 1.04550e-07 5.29864e-08 6.44979
55735.65527 55738.65527 5.20042e-08 3.46157e-08 4.19995
55738.65527 55741.65527 2.02807e-11 4.08448e-14 -0.00044
55741.65527 55744.65527 7.89400e-08 4.26990e-08 5.84528
55744.65527 55747.65527 7.23656e-08 3.78784e-08 6.59959
55747.65527 55750.65527 2.80066e-07 5.85313e-08 74.35860
55750.65527 55753.65527 2.61959e-07 5.79597e-08 56.13810
55753.65527 55756.65527 1.79284e-07 5.48333e-08 24.22190
55756.65527 55759.65527 1.23792e-07 4.77879e-08 12.86290
55759.65527 55762.65527 2.00335e-07 5.48813e-08 37.46460
55762.65527 55765.65527 1.50082e-07 5.06130e-08 18.48020
55765.65527 55768.65527 2.06485e-07 5.58761e-08 36.22750
55768.65527 55771.65527 1.34554e-07 5.10010e-08 13.17280
55771.65527 55774.65527 1.03380e-07 4.84990e-08 9.12843
55774.65527 55777.65527 2.46628e-07 6.48889e-08 41.90670
55777.65527 55780.65527 9.49856e-07 1.02076e-07 315.44700
55780.65527 55783.65527 5.67241e-07 8.49522e-08 138.49300
55783.65527 55786.65527 3.54007e-07 7.27444e-08 74.65040
55786.65527 55789.65527 1.71566e-07 5.56728e-08 26.05950
55789.65527 55792.65527 3.84720e-08 4.50752e-08 1.18826
55792.65527 55795.65527 3.68419e-08 3.91704e-08 1.23519
55795.65527 55798.65527 1.08559e-07 5.37064e-08 7.35659
55798.65527 55801.65527 1.41169e-07 4.55461e-08 35.03880
55801.65527 55804.65527 1.15007e-07 5.00316e-08 9.03423
55804.65527 55807.65527 5.02940e-08 4.01156e-08 3.01419
55807.65527 55810.65527 1.01032e-07 4.60449e-08 16.95580
55810.65527 55813.65527 5.46548e-08 2.68803e-08 9.38552
55813.65527 55816.65527 5.72811e-08 2.68141e-08 8.98851
55816.65527 55819.65527 4.56394e-08 3.48147e-08 4.15800
55819.65527 55822.65527 1.38808e-08 4.09507e-08 0.13010
