# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
54682.65527 54689.65527 3.38448e-08 2.22007e-08 7.92431
54689.65527 54696.65527 7.36445e-08 2.85114e-08 14.83770
54696.65527 54703.65527 8.95364e-08 2.56926e-08 28.64080
54703.65527 54710.65527 1.32576e-07 2.53761e-08 72.28490
54710.65527 54717.65527 6.00115e-08 1.81813e-08 25.22650
54717.65527 54724.65527 1.16115e-07 2.54506e-08 75.17980
54724.65527 54731.65527 7.79312e-08 2.31313e-08 27.74300
54731.65527 54738.65527 9.91741e-08 2.63687e-08 31.09870
54738.65527 54745.65527 3.19772e-08 2.07310e-08 4.64382
54745.65527 54752.65527 4.02241e-08 1.98985e-08 8.13198
54752.65527 54759.65527 7.50659e-08 1.97489e-08 45.17180
54759.65527 54766.65527 1.13049e-07 2.26754e-08 62.21630
54766.65527 54773.65527 6.49682e-08 1.88858e-08 34.37630
54773.65527 54780.65527 5.90513e-08 2.11573e-08 16.37290
54780.65527 54787.65527 1.20410e-07 2.64674e-08 52.84440
54787.65527 54794.65527 8.95606e-08 2.67657e-08 29.28180
54794.65527 54801.65527 1.18139e-07 2.88809e-08 53.20730
54801.65527 54808.65527 9.94980e-08 2.67065e-08 33.07090
54808.65527 54815.65527 1.38128e-07 2.56660e-08 88.73350
54815.65527 54822.65527 1.13269e-07 2.43195e-08 71.20770
54822.65527 54829.65527 9.25511e-08 2.12755e-08 51.11420
54829.65527 54836.65527 1.51150e-07 2.62768e-08 112.12100
54836.65527 54843.65527 1.49515e-07 2.93339e-08 76.86780
54843.65527 54850.65527 1.58437e-07 3.03877e-08 102.02500
54850.65527 54857.65527 1.29159e-07 2.99418e-08 51.62780
54857.65527 54864.65527 2.32257e-08 1.57964e-08 5.45047
54864.65527 54871.65527 5.09691e-08 2.10781e-08 11.95230
54871.65527 54878.65527 8.25196e-08 2.14452e-08 40.27210
54878.65527 54885.65527 9.36251e-08 2.21283e-08 46.64410
54885.65527 54892.65527 3.54674e-08 1.74060e-08 7.23073
54892.65527 54899.65527 6.71370e-08 2.13134e-08 25.60030
54899.65527 54906.65527 1.64343e-07 6.64700e-08 32.31600
54906.65527 54913.65527 1.24397e-07 2.61751e-08 85.78400
54913.65527 54920.65527 1.22043e-07 2.45220e-08 79.42610
54920.65527 54927.65527 9.29814e-08 2.25930e-08 62.96060
54927.65527 54934.65527 5.95872e-08 1.92406e-08 24.91530
54934.65527 54941.65527 1.44534e-07 2.40106e-08 121.95600
54941.65527 54948.65527 1.89817e-07 2.97607e-08 131.72600
54948.65527 54955.65527 1.03764e-07 2.82893e-08 38.92200
54955.65527 54962.65527 7.56233e-08 2.63876e-08 23.13450
54962.65527 54969.65527 4.05460e-08 1.85420e-08 12.09410
